School Name,City and State,Type,Conference,Division
Dodge City Community College,"Dodge City, Kansas",Public,KJCCC,JC
Dominican University – Illinois,"River Forest, Illinois",Private,Northern Athletics Collegiate Conference,NCAA D3
Dominican University – New York,"Orangeburg, New York",Private,Central Atlantic Collegiate Conference,NCAA D2
Dordt University,"Sioux Center, Iowa",Private,Great Plains Athletic Conference,NAIA
Drew University,"Madison, New Jersey",Private,Landmark Conference,NCAA D3
Drury University,"Springfield, Missouri",Private,Great Lakes Valley Conference,NCAA D2
Duke University,"Durham, North Carolina",Private,Atlantic Coast Conference,NCAA D1
Dutchess Community College,"Poughkeepsie, New York",Public,Mid Hudson Conference,JC
Dyersburg State Community College,"Dyersburg, Tennessee",Public,TCCAA,JC
Earlham College,"Richmond, Indiana",Private,Heartland Collegiate Athletic Conference,NCAA D3
East Carolina University,"Greenville, North Carolina",Public,American Athletic Conference,NCAA D1
East Central College,"Union, Missouri",Public,MCCAC,JC
East Central Community College,"Decatur, Mississippi",Public,MACCC,JC
East Central University,"Ada, Oklahoma",Public,Great American Conference,NCAA D2
East Georgia State College,"Swainsboro, Georgia",Public,Georgia Collegiate Athletic Association,JC
East Los Angeles College,"Monterey Park, California",Public,SCC,JC
East Mississippi Community College,"Scooba, Mississippi",Public,MACCC,JC
East Stroudsburg University of Pennsylvania,"East Stroudsburg, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2
East Tennessee State University,"Johnson City, Tennessee",Public,Southern Conference,NCAA D1
East Texas Baptist University,"Marshall, Texas",Private,American Southwest Conference,NCAA D3
Eastern Arizona College,"Thatcher, Arizona",Public,ACCAC,JC
Eastern Connecticut State University,"Willimantic, Connecticut",Public,Little East Conference,NCAA D3
Eastern Florida State College,"Cocoa, Florida",Public,FCSAA,JC
Eastern Illinois University,"Charleston, Illinois",Public,Ohio Valley Conference,NCAA D1
Eastern Kentucky University,"Richmond, Kentucky",Public,Atlantic Sun Conference,NCAA D1
Eastern Mennonite University,"Harrisonburg, Virginia",Private,Old Dominion Athletic Conference,NCAA D3
Eastern Michigan University,"Ypsilanti, Michigan",Public,Mid-American Conference,NCAA D1
Eastern Nazarene College,"Quincy, Massachusetts",Private,North Atlantic Conference,NCAA D3
Eastern New Mexico University,"Portales, New Mexico",Public,Lone Star Conference,NCAA D2
Eastern Oklahoma State College,"Wilburton, Oklahoma",Public,Region 2,JC
Eastern Oregon University,"La Grande, Oregon",Public,Cascade Collegiate Conference,NAIA
Eastern University,"Saint Davids, Pennsylvania",Private,Middle Atlantic Conferences,NCAA D3
Eastfield College,"Mesquite, Texas",Public,Region 5,JC
Eckerd College,"Saint Petersburg, Florida",Private,Sunshine State Conference,NCAA D2
Edgewood College,"Madison, Wisconsin",Private,Northern Athletics Collegiate Conference,NCAA D3
Edison State Community College,"Piqua, Ohio",Public,OCCAC,JC
Edmonds College,"Lynnwood, Washington",Public,Northwest Athletic Conference,JC
Edward Waters University,"Jacksonville, Florida",Private,Southern Intercollegiate Athletic Conference,NCAA D2
El Camino College,"Torrance, California",Public,SCC,JC
El Paso Community College,"El Paso, Texas",Public,Region 5,JC
Elgin Community College,"Elgin, Illinois",Public,Illinois Skyway Collegiate Conference,JC
Elizabethtown College,"Elizabethtown, Pennsylvania",Private,Landmark Conference,NCAA D3
Ellsworth Community College,"Iowa Falls, Iowa",Public,ICCAC,JC
Elmhurst University,"Elmhurst, Illinois",Private,College Conference of Illinois and Wisconsin,NCAA D3
Elmira College,"Elmira, New York",Private,Empire 8 Athletic Conference,NCAA D3
Elms College,"Chicopee, Massachusetts",Private,Great Northeast Athletic Conference,NCAA D3
Elon University,"Elon, North Carolina",Private,Colonial Athletic Association,NCAA D1
Embry-Riddle Aeronautical University,"Daytona Beach, Florida",Private,Sunshine State Conference,NCAA D2
Embry-Riddle Aeronautical University (Arizona Campus),"Prescott, Arizona",Private,California Pacific Conference,NAIA
Emerson College,"Boston, Massachusetts",Private,New England Women's & Men's Athletic Conference,NCAA D3
Emmanuel University – Georgia,"Franklin Springs, Georgia",Private,Conference Carolinas,NCAA D2
Emory & Henry College,"Emory, Virginia",Private,South Atlantic Conference,NCAA D2
Emory University,"Atlanta, Georgia",Private,University Athletic Association,NCAA D3
Emporia State University,"Emporia, Kansas",Public,Mid-America Intercollegiate Athletics Association,NCAA D2
Endicott College,"Beverly, Massachusetts",Private,Commonwealth Coast Conference,NCAA D3
Enterprise State Community College,"Enterprise, Alabama",Public,Alabama Community College Conference,JC
Erie Community College,"Buffalo, New York",Public,Region 3,JC
Erskine College,"Due West, South Carolina",Private,Conference Carolinas,NCAA D2
Eureka College,"Eureka, Illinois",Private,St. Louis Intercollegiate Athletic Conference,NCAA D3
Evangel University,"Springfield, Missouri",Private,Kansas Collegiate Athletic Conference,NAIA
Everett Community College,"Everett, Washington",Public,Northwest Athletic Conference,JC
Fairfield University,"Fairfield, Connecticut",Private,Metro Atlantic Athletic Conference,NCAA D1
Fairleigh Dickinson University,"Teaneck, New Jersey",Private,Northeast Conference,NCAA D1
Fairleigh Dickinson University – College at Florham,"Madison, New Jersey",Private,Middle Atlantic Conferences,NCAA D3
Fairmont State University,"Fairmont, West Virginia",Public,Mountain East Conference,NCAA D2
Faulkner University,"Montgomery, Alabama",Private,Southern States Athletic Conference,NAIA
Fayetteville Technical Community College,"Fayetteville, North Carolina",Public,Region 10,JC
Feather River College,"Quincy, California",Public,Golden Valley Conference,JC
Felician University,"Rutherford, New Jersey",Private,Central Atlantic Collegiate Conference,NCAA D2
Ferrum College,"Ferrum, Virginia",Private,Old Dominion Athletic Conference,NCAA D3
Finger Lakes Community College,"Canandaigua, New York",Public,Mid-State Athletic Conference,JC
Fisher College,"Boston, Massachusetts",Private,Continental Athletic Conference,NAIA
Fitchburg State University,"Fitchburg, Massachusetts",Public,Massachusetts State Collegiate Athletic Conference,NCAA D3
Flagler College – St. Augustine,"Saint Augustine, Florida",Private,Peach Belt Conference,NCAA D2
Florence-Darlington Technical College,"Florence, South Carolina",Public,REG10N,JC
Florida A&M University,"Tallahassee, Florida",Public,Southwestern Athletic Conference,NCAA D1
Florida Atlantic University,"Boca Raton, Florida",Public,American Athletic Conference,NCAA D1
Florida Gulf Coast University,"Fort Myers, Florida",Public,Atlantic Sun Conference,NCAA D1
Florida International University,"Miami, Florida",Public,Conference USA,NCAA D1
Florida Memorial University,"Miami Gardens, Florida",Private,Sun Conference,NAIA
Florida National University,"Hialeah, Florida",Private,Continental Athletic Conference,NAIA
Florida Southern College,"Lakeland, Florida",Private,Sunshine State Conference,NCAA D2
Florida SouthWestern State College,"Fort Myers, Florida",Public,FCSAA,JC
Florida State College at Jacksonville,"Jacksonville, Florida",Public,FCSAA,JC
Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1
Florida Tech,"Melbourne, Florida",Private,Sunshine State Conference,NCAA D2
Fordham University,"Bronx, New York",Private,Atlantic 10 Conference,NCAA D1
Formerly Dixie State University,"Saint George, Utah",Public,Western Athletic Conference,NCAA D1
Fort Hays State University,"Hays, Kansas",Public,Mid-America Intercollegiate Athletics Association,NCAA D2
Fort Scott Community College,"Fort Scott, Kansas",Public,KJCCC,JC
Framingham State University,"Framingham, Massachusetts",Public,Massachusetts State Collegiate Athletic Conference,NCAA D3
Francis Marion University,"Florence, South Carolina",Public,Conference Carolinas,NCAA D2
Franciscan University of Steubenville,"Steubenville, Ohio",Private,Presidents' Athletic Conference,NCAA D3
Frank Phillips College,"Borger, Texas",Public,WJCAC,JC
Franklin & Marshall College,"Lancaster, Pennsylvania",Private,Centennial Conference,NCAA D3
Franklin College,"Franklin, Indiana",Private,Heartland Collegiate Athletic Conference,NCAA D3
Franklin Pierce University,"Rindge, New Hampshire",Private,Conference Carolinas,NCAA D2
Frederick Community College,"Frederick, Maryland",Public,MD JUCO,JC
Freed-Hardeman University,"Henderson, Tennessee",Private,Mid-South Conference,NAIA
Fresno City College,"Fresno, California",Public,Central Valley Conference,JC
Fresno Pacific University,"Fresno, California",Private,Pacific West Conference,NCAA D2
Friends University,"Wichita, Kansas",Private,Kansas Collegiate Athletic Conference,NAIA
Frontier Community College – Illinois Eastern Community College,"Fairfield, Illinois",Public,Region 24,JC
Frostburg State University,"Frostburg, Maryland",Public,Mountain East Conference,NCAA D2
Fullerton College,"Fullerton, California",Public,OEC,JC
Fulton-Montgomery Community College,"Johnstown, New York",Public,Region 3,JC
Gadsden State Community College,"Gadsden, Alabama",Public,Alabama Community College Conference,JC
Galveston College,"Galveston, Texas",Public,Region 14,JC
Gannon University,"Erie, Pennsylvania",Private,Pennsylvania State Athletic Conference,NCAA D2
Garden City Community College,"Garden City, Kansas",Public,KJCCC,JC
Gardner-Webb University,"Boiling Springs, North Carolina",Private,Big South Conference,NCAA D1
Garrett College,"Mchenry, Maryland",Public,MD JUCO,JC
Gaston College,"Dallas, North Carolina",Public,REG10N,JC
Gateway Community College (Arizona),"Phoenix, Arizona",Public,ACCAC,JC
Geneva College,"Beaver Falls, Pennsylvania",Private,Presidents' Athletic Conference,NCAA D3
George Fox University,"Newberg, Oregon",Private,Northwest Conference,NCAA D3
George Mason University,"Fairfax, Virginia",Public,Atlantic 10 Conference,NCAA D1
George Washington University,"Washington, District Of Columbia",Private,Atlantic 10 Conference,NCAA D1
Georgetown College,"Georgetown, Kentucky",Private,Mid-South Conference,NAIA
Georgetown University,"Washington, District Of Columbia",Private,Patriot League,NCAA D1
Georgia College & State University,"Milledgeville, Georgia",Public,Peach Belt Conference,NCAA D2
Georgia Gwinnett College,"Lawrenceville, Georgia",Public,Continental Athletic Conference,NAIA
Georgia Highlands College,"Rome, Georgia",Public,Georgia Collegiate Athletic Association,JC
Georgia Southern University,"Statesboro, Georgia",Public,Sun Belt Conference,NCAA D1
Georgia Southwestern State University,"Americus, Georgia",Public,Peach Belt Conference,NCAA D2
Georgia State University,"Atlanta, Georgia",Public,Sun Belt Conference,NCAA D1
Georgia Tech,"Atlanta, Georgia",Public,Atlantic Coast Conference,NCAA D1
Georgian Court University,"Lakewood, New Jersey",Private,Central Atlantic Collegiate Conference,NCAA D2
Gettysburg College,"Gettysburg, Pennsylvania",Private,Centennial Conference,NCAA D3
Glen Oaks Community College,"Centreville, Michigan",Public,MCCAA,JC
Glendale Community College – Arizona,"Glendale, Arizona",Public,ACCAC,JC
Glendale Community College – California,"Glendale, California",Public,WSC,JC
Glenville State University,"Glenville, West Virginia",Public,Mountain East Conference,NCAA D2
Golden West College,"Huntington Beach, California",Public,OEC,JC
Goldey-Beacom College,"Wilmington, Delaware",Private,Central Atlantic Collegiate Conference,NCAA D2
Gonzaga University,"Spokane, Washington",Private,West Coast Conference,NCAA D1
Gordon State College,"Barnesville, Georgia",Public,GCAA,JC
Goshen College,"Goshen, Indiana",Private,Crossroads League,NAIA
Grace College,"Winona Lake, Indiana",Private,Crossroads League,NAIA
Graceland University,"Lamoni, Iowa",Private,Heart of America Athletic Conference,NAIA
Grambling State University,"Grambling, Louisiana",Public,Southwestern Athletic Conference,NCAA D1
Grand Canyon University,"Phoenix, Arizona",Private,Western Athletic Conference,NCAA D1
Grand Rapids Community College,"Grand Rapids, Michigan",Public,MCCAA,JC
Grand Valley State University,"Allendale, Michigan",Public,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Grand View University,"Des Moines, Iowa",Private,Heart of America Athletic Conference,NAIA
Grays Harbor College,"Aberdeen, Washington",Public,Northwest Athletic Conference,JC
Grayson College,"Denison, Texas",Public,NTJCAC,JC
Great Bay Community College,"Portsmouth, New Hampshire",Public,Yankee Small College Conference,JC
Greensboro College,"Greensboro, North Carolina",Private,USA South Athletic Conference,NCAA D3
Greenville University,"Greenville, Illinois",Private,St. Louis Intercollegiate Athletic Conference,NCAA D3
Grinnell College,"Grinnell, Iowa",Private,Midwest Conference,NCAA D3
Grove City College,"Grove City, Pennsylvania",Private,Presidents' Athletic Conference,NCAA D3
Guilford College,"Greensboro, North Carolina",Private,Old Dominion Athletic Conference,NCAA D3
Guilford Technical Community College,"Jamestown, North Carolina",Public,REG10N,JC
Gulf Coast State College,"Panama City, Florida",Public,Panhandle Conference,JC
Gustavus Adolphus College,"Saint Peter, Minnesota",Private,Minnesota Intercollegiate Athletic Conference,NCAA D3
Gwynedd Mercy University,"Gwynedd Valley, Pennsylvania",Private,Atlantic East Conference,NCAA D3
Hagerstown Community College,"Hagerstown, Maryland",Public,MD JUCO,JC
Hamilton College,"Clinton, New York",Private,New England Small College Athletic Conference,NCAA D3
Hamline University,"Saint Paul, Minnesota",Private,Minnesota Intercollegiate Athletic Conference,NCAA D3
Hampden-Sydney College,"Hampden Sydney, Virginia",Private,Old Dominion Athletic Conference,NCAA D3
Hannibal-LaGrange University,"Hannibal, Missouri",Private,American Midwest Conference,NAIA
Hanover College,"Hanover, Indiana",Private,Heartland Collegiate Athletic Conference,NCAA D3
Hardin-Simmons University,"Abilene, Texas",Private,American Southwest Conference,NCAA D3
Harding University,"Searcy, Arkansas",Private,Great American Conference,NCAA D2
Harford Community College,"Bel Air, Maryland",Public,MD JUCO,JC
Harper College,"Palatine, Illinois",Public,NCCCC,JC
Harris-Stowe State University,"Saint Louis, Missouri",Public,American Midwest Conference,NAIA
Harry S Truman College,"Chicago, Illinois",Public,Region 4,JC
Harvard University,"Cambridge, Massachusetts",Private,Ivy League,NCAA D1
Hastings College,"Hastings, Nebraska",Private,Great Plains Athletic Conference,NAIA
Haverford College,"Haverford, Pennsylvania",Private,Centennial Conference,NCAA D3
Hawaii Pacific University,"Honolulu, Hawaii",Private,Pacific West Conference,NCAA D2
Heartland Community College,"Normal, Illinois",Public,Mid-West Athletic Conference,JC
Heidelberg University,"Tiffin, Ohio",Private,Ohio Athletic Conference,NCAA D3
Henderson State University,"Arkadelphia, Arkansas",Public,Great American Conference,NCAA D2
Hendrix College,"Conway, Arkansas",Private,Southern Athletic Association,NCAA D3
Henry Ford College,"Dearborn, Michigan",Public,MCCAA,JC
Hesston College,"Hesston, Kansas",Private,KJCCC,JC
High Point University,"High Point, North Carolina",Private,Big South Conference,NCAA D1
Highland Community College – Illinois,"Freeport, Illinois",Public,Arrowhead Conference,JC
Highland Community College – Kansas,"Highland, Kansas",Public,KJCCC,JC
Hilbert College,"Hamburg, New York",Private,Allegheny Mountain Collegiate Conference,NCAA D3
Hill College,"Hillsboro, Texas",Public,NTJCAC,JC
Hillsborough Community College,"Tampa, Florida",Public,FCSAA,JC
Hillsdale College,"Hillsdale, Michigan",Private,Great Midwest Athletic Conference,NCAA D2
Hinds Community College,"Raymond, Mississippi",Public,MACCC,JC
Hiram College,"Hiram, Ohio",Private,North Coast Athletic Conference,NCAA D3
Hobart & William Smith College,"Geneva, New York",Private,Liberty League,NCAA D3
Hocking College,"Nelsonville, Ohio",Public,OCCAC,JC
Hofstra University,"Hempstead, New York",Private,Colonial Athletic Association,NCAA D1
Holmes Community College,"Goodman, Mississippi",Public,MACCC,JC
Holy Family University,"Philadelphia, Pennsylvania",Private,Central Atlantic Collegiate Conference,NCAA D2
Holyoke Community College,"Holyoke, Massachusetts",Public,Region 21,JC
Hood College,"Frederick, Maryland",Private,MAC Commonwealth Conference,NCAA D3
Hope College,"Holland, Michigan",Private,Michigan Intercollegiate Athletic Association,NCAA D3
Hope International University,"Fullerton, California",Private,Great Southwest Athletic Conference,NAIA
Houghton University,"Houghton, New York",Private,Empire 8 Athletic Conference,NCAA D3
Houston Christian University,"Houston, Texas",Private,Southland Conference,NCAA D1
Howard College,"Big Spring, Texas",Public,Region 5,JC
Howard Payne University,"Brownwood, Texas",Private,American Southwest Conference,NCAA D3
Huntingdon College,"Montgomery, Alabama",Private,Collegiate Conference of the South,NCAA D3
Huntington University,"Huntington, Indiana",Private,Crossroads League,NAIA
Husson University,"Bangor, Maine",Private,North Atlantic Conference,NCAA D3
Huston-Tillotson University,"Austin, Texas",Private,Red River Athletic Conference,NAIA
Hutchinson Community College,"Hutchinson, Kansas",Public,KJCCC,JC
Illinois Central College,"East Peoria, Illinois",Public,Mid-West Athletic Conference,JC
Illinois College,"Jacksonville, Illinois",Private,Midwest Conference,NCAA D3
Illinois Institute of Technology,"Chicago, Illinois",Private,Northern Athletics Collegiate Conference,NCAA D3
Illinois State University,"Normal, Illinois",Public,Missouri Valley Conference,NCAA D1
Illinois Valley Community College,"Oglesby, Illinois",Public,Arrowhead Conference,JC
Illinois Wesleyan University,"Bloomington, Illinois",Private,College Conference of Illinois and Wisconsin,NCAA D3
Immaculata University,"Immaculata, Pennsylvania",Private,Atlantic East Conference,NCAA D3
Indian Hills Community College,"Ottumwa, Iowa",Public,ICCAC,JC
Indian River State College,"Fort Pierce, Florida",Public,FCSAA,JC
Indiana State University,"Terre Haute, Indiana",Public,Missouri Valley Football Conference,NCAA D1
Indiana Tech,"Fort Wayne, Indiana",Private,Wolverine-Hoosier Athletic Conference,NAIA
Indiana University,"Bloomington, Indiana",Public,Big Ten,NCAA D1
Indiana University – Columbus,"Columbus, Indiana",Public,River States Conference,NAIA
Indiana University – Kokomo,"Kokomo, Indiana",Public,River States Conference,NAIA
Indiana University – South Bend,"South Bend, Indiana",Public,Chicagoland Collegiate Athletic Conference,NAIA
Indiana University – Southeast,"New Albany, Indiana",Public,River States Conference,NAIA
Indiana University of Pennsylvania,"Indiana, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2
Indiana University-Purdue University – Indianapolis (IUPUI),"Indianapolis, Indiana",Public,Horizon League,NCAA D1
Indiana Wesleyan University,"Marion, Indiana",Private,Crossroads League,NAIA
Iona University,"New Rochelle, New York",Private,Metro Atlantic Athletic Conference,NCAA D1
Iowa Central Community College,"Fort Dodge, Iowa",Public,ICCAC,JC
Iowa Lakes Community College – Estherville Campus,"Estherville, Iowa",Public,ICCAC,JC
Iowa Western Community College,"Council Bluffs, Iowa",Public,ICCAC,JC
Itasca Community College,"Grand Rapids, Minnesota",Public,MCAC,JC
Itawamba Community College — Fulton Campus,"Fulton, Mississippi",Public,MACCC,JC
Ithaca College,"Ithaca, New York",Private,Liberty League,NCAA D3
Jackson College,"Jackson, Michigan",Public,MCCAA,JC
Jackson State Community College,"Jackson, Tennessee",Public,TCCAA,JC
Jackson State University,"Jackson, Mississippi",Public,Southwestern Athletic Conference,NCAA D1
Jacksonville State University,"Jacksonville, Alabama",Public,Conference USA,NCAA D1
Jacksonville University,"Jacksonville, Florida",Private,Atlantic Sun Conference,NCAA D1
James Madison University,"Harrisonburg, Virginia",Public,Sun Belt Conference,NCAA D1
Jarvis Christian University,"Hawkins, Texas",Private,Red River Athletic Conference,NAIA
Jefferson College,"Hillsboro, Missouri",Public,MCCAC,JC
Jefferson Community College,"Watertown, New York",Public,Region 3,JC
John A Logan College,"Carterville, Illinois",Public,Great Rivers Athletic Conference,JC
John Carroll University,"University Heights, Ohio",Private,Ohio Athletic Conference,NCAA D3
John Wood Community College,"Quincy, Illinois",Public,Mid-West Athletic Conference,JC
Johns Hopkins University,"Baltimore, Maryland",Private,Centennial Conference,NCAA D3
Johnson & Wales University – Providence,"Providence, Rhode Island",Private,Great Northeast Athletic Conference,NCAA D3
Johnson County Community College,"Overland Park, Kansas",Public,KJCCC,JC
Johnson University,"Knoxville, Tennessee",Private,Appalachian Athletic Conference (AAC),NAIA
Joliet Junior College,"Joliet, Illinois",Public,Region 4,JC
Jones County Junior College,"Ellisville, Mississippi",Public,MACCC,JC
Judson University,"Elgin, Illinois",Private,Chicagoland Collegiate Athletic Conference,NAIA
Juniata College,"Huntingdon, Pennsylvania",Private,Landmark Conference,NCAA D3
Kalamazoo College,"Kalamazoo, Michigan",Private,Michigan Intercollegiate Athletic Association,NCAA D3
Kalamazoo Valley Community College,"Kalamazoo, Michigan",Public,MCCAA,JC
Kankakee Community College,"Kankakee, Illinois",Public,Region 4,JC
Kansas City Kansas Community College,"Kansas City, Kansas",Public,KJCCC,JC
Kansas State University,"Manhattan, Kansas",Public,Big 12 Conference,NCAA D1
Kansas Wesleyan University,"Salina, Kansas",Private,Kansas Collegiate Athletic Conference,NAIA
Kaskaskia College,"Centralia, Illinois",Public,Great Rivers Athletic Conference,JC
Kean University,"Union, New Jersey",Public,New Jersey Athletic Conference,NCAA D3
Keene State College,"Keene, New Hampshire",Public,Little East Conference,NCAA D3
Keiser University,"West Palm Beach, Florida",Public,The Sun Conference,NAIA
Kellogg Community College,"Battle Creek, Michigan",Public,MCCAA,JC
Kennesaw State University,"Kennesaw, Georgia",Public,Conference USA,NCAA D1
Kent State University,"Kent, Ohio",Public,Mid-American Conference,NCAA D1
Kentucky Christian University,"Grayson, Kentucky",Private,Appalachian Athletic Conference,NAIA
Kentucky State University,"Frankfort, Kentucky",Public,Southern Intercollegiate Athletic Conference,NCAA D2
Kentucky Wesleyan College,"Owensboro, Kentucky",Private,Great Midwest Athletic Conference,NCAA D2
Kenyon College,"Gambier, Ohio",Private,North Coast Athletic Conference,NCAA D3
Keuka College,"Keuka Park, New York",Private,Empire 8 Athletic Conference,NCAA D3
Keystone College,"La Plume, Pennsylvania",Private,Colonial States Athletic Conference,NCAA D3
King University – Tennessee,"Bristol, Tennessee",Private,Conference Carolinas,NCAA D2
King's College – Pennsylvania,"Wilkes Barre, Pennsylvania",Private,Middle Atlantic Conferences,NCAA D3
Kirkwood Community College,"Cedar Rapids, Iowa",Public,ICCAC,JC
Kishwaukee College,"Malta, Illinois",Public,Arrowhead Conference,JC
Knox College,"Galesburg, Illinois",Private,Midwest Conference,NCAA D3
Kutztown University of Pennsylvania,"Kutztown, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2
La Roche University,"Pittsburgh, Pennsylvania",Private,Allegheny Mountain Collegiate Conference,NCAA D3
La Sierra University,"Riverside, California",Private,California Pacific Conference,NAIA
Labette Community College,"Parsons, Kansas",Public,KJCCC,JC
Lackawanna College,"Scranton, Pennsylvania",Private,Eastern Pennsylvania Athletic Conference,JC
Lafayette College,"Easton, Pennsylvania",Private,Patriot League,NCAA D1
LaGrange College,"Lagrange, Georgia",Private,Collegiate Conference of the South,NCAA D3
Lake Erie College,"Painesville, Ohio",Private,Great Midwest Athletic Conference,NCAA D2
Lake Land College,"Mattoon, Illinois",Public,Great Rivers Athletic Conference,JC
Lake Michigan College,"Benton Harbor, Michigan",Public,MCCAA,JC
Lake Region State College,"Devils Lake, North Dakota",Public,Mon-Dak Conference,JC
Lake-Sumter State College,"Leesburg, Florida",Public,Mid-Florida Conference,JC
Lakeland Community College,"Kirtland, Ohio",Public,OCCAC,JC
Lakeland University,"Plymouth, Wisconsin",Private,Northern Athletics Collegiate Conference,NCAA D3
Lamar Community College,"Lamar, Colorado",Public,Region 9,JC
Lamar University,"Beaumont, Texas",Public,Southland Conference,NCAA D1
Lancaster Bible College,"Lancaster, Pennsylvania",Private,United East Conference,NCAA D3
Lander University,"Greenwood, South Carolina",Public,Peach Belt Conference,NCAA D2
Lane College,"Jackson, Tennessee",Private,Southern Intercollegiate Athletic Conference,NCAA D2
Lane Community College,"Eugene, Oregon",Public,Northwest Athletic Conference,JC
Lansing Community College,"Lansing, Michigan",Public,MCCAA,JC
Lasell University,"Newton, Massachusetts",Private,Great Northeast Athletic Conference,NCAA D3
Lassen Community College,"Susanville, California",Public,BIG 8 Conference,JC
Lawrence Technological University,"Southfield, Michigan",Private,Wolverine-Hoosier Athletic Conference,NAIA
Lawrence University,"Appleton, Wisconsin",Private,Midwest Conference,NCAA D3
Lawson State Community College – Birmingham,"Birmingham, Alabama",Public,Alabama Community College Conference,JC
Le Moyne College,"Syracuse, New York",Private,Northeast Conference,NCAA D1
Lebanon Valley College,"Annville, Pennsylvania",Private,Middle Atlantic Conferences,NCAA D3
Lee University,"Cleveland, Tennessee",Private,Gulf South Conference,NCAA D2
Lehigh Carbon Community College,"Schnecksville, Pennsylvania",Public,Eastern Pennsylvania Athletic Conference,JC
Lehigh University,"Bethlehem, Pennsylvania",Private,Patriot League,NCAA D1
LeMoyne-Owen College,"Memphis, Tennessee",Private,Southern Intercollegiate Athletic Conference,NCAA D2
Lenoir Community College,"Kinston, North Carolina",Public,REG10N,JC
Lenoir-Rhyne University,"Hickory, North Carolina",Private,South Atlantic Conference,NCAA D2
Lesley University,"Cambridge, Massachusetts",Private,North Atlantic Conference,NCAA D3
LeTourneau University,"Longview, Texas",Private,American Southwest Conference,NCAA D3
Lewis & Clark College,"Portland, Oregon",Private,Northwest Conference,NCAA D3
Lewis & Clark Community College,"Godfrey, Illinois",Public,Mid-West Athletic Conference,JC
Lewis University,"Romeoville, Illinois",Private,Great Lakes Valley Conference,NCAA D2
Lewis-Clark State College,"Lewiston, Idaho",Public,Cascade Collegiate Conference,NAIA
Liberty University,"Lynchburg, Virginia",Private,Conference USA,NCAA D1
Limestone University,"Gaffney, South Carolina",Private,South Atlantic Conference,NCAA D2
Lincoln Land Community College,"Springfield, Illinois",Public,Mid-West Athletic Conference,JC
Lincoln Memorial University,"Harrogate, Tennessee",Private,South Atlantic Conference,NCAA D2
Lincoln Trail College,"Robinson, Illinois",Public,Great Rivers Athletic Conference,JC
Lincoln University – Missouri,"Jefferson City, Missouri",Public,Great Lakes Valley Conference,NCAA D2
Lincoln University Pennsylvania,"Lincoln University, Pennsylvania",Public,Central Intercollegiate Athletic Association,NCAA D2
Lindenwood University,"Saint Charles, Missouri",Private,Ohio Valley Conference,NCAA D1
Lindsey Wilson College,"Columbia, Kentucky",Private,Mid-South Conference,NAIA
Linfield University,"Mcminnville, Oregon",Private,Northwest Conference,NCAA D3
Linn-Benton Community College,"Albany, Oregon",Public,Northwest Athletic Conference,JC
Lipscomb University,"Nashville, Tennessee",Private,Atlantic Sun Conference,NCAA D1
Lock Haven University,"Lock Haven, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2
Long Island University,"Long Island, New York",Private,Northeast Conference,NCAA D1
Longwood University,"Farmville, Virginia",Public,Big South Conference,NCAA D1
Lorain County Community College,"Elyria, Ohio",Public,OCCAC,JC
Loras College,"Dubuque, Iowa",Private,American Rivers Conference,NCAA D3
Los Angeles Harbor College,"Wilmington, California",Public,SCC,JC
Los Angeles Valley College,"Valley Glen, California",Public,Western State Conference,JC
Louisburg College,"Louisburg, North Carolina",Private,REG10N,JC
Louisiana Christian University,"Pineville, Louisiana",Private,Red River Athletic Conference,NAIA
Louisiana State University – Alexandria,"Alexandria, Louisiana",Public,Red River Athletic Conference,NAIA
Louisiana State University – Eunice,"Eunice, Louisiana",Public,LCCAC,JC
Louisiana State University – Shreveport,"Shreveport, Louisiana",Public,Red River Athletic Conference,NAIA
Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1
Louisiana Tech University,"Ruston, Louisiana",Public,Conference USA,NCAA D1
Lourdes University,"Sylvania, Ohio",Private,Wolverine-Hoosier Athletic Conference,NAIA
Lower Columbia College,"Longview, Washington",Public,Northwest Athletic Conference,JC
Loyola Marymount University,"Los Angeles, California",Private,West Coast Conference,NCAA D1
Loyola University New Orleans,"New Orleans, Louisiana",Private,Southern States Athletic Conference,NAIA
Lubbock Christian University,"Lubbock, Texas",Private,Lone Star Conference,NCAA D2
Luna Community College,"Las Vegas, New Mexico",Public,Region 9,JC
Lurleen B Wallace Community College,"Andalusia, Alabama",Public,Alabama Community College Conference,JC
Luther College,"Decorah, Iowa",Private,American Rivers Conference,NCAA D3
Luzerne County Community College,"Nanticoke, Pennsylvania",Public,Eastern Pennsylvania Athletic Conference,JC
Lycoming College,"Williamsport, Pennsylvania",Private,Landmark Conference,NCAA D3
Lynn University,"Boca Raton, Florida",Private,Sunshine State Conference,NCAA D2
Lyon College,"Batesville, Arkansas",Private,St. Louis Intercollegiate Athletic Conference,NCAA D3
